station_id,lat,lon,elevation
012730-99999,63.233,11.017,160.0
012770-99999,64.017,11.45,80.0
012820-99999,64.85,11.233,14.0
012880-99999,62.567,11.383,630.0
012900-99999,64.467,11.583,2.0
012930-99999,63.417,11.733,171.0
013000-99999,61.2,2.267,78.0
013005-99999,61.25,1.85,117.7
013040-99999,61.567,4.683,25.0
013060-99999,60.75,4.717,23.0
013070-99999,60.75,4.717,20.0
013100-99999,61.584,5.025,11.3
013110-99999,60.293,5.218,51.8
013170-99999,60.383,5.333,36.0
013200-99999,61.833,6.117,60.0
013210-99999,61.9,6.55,208.0
013230-99999,61.393,5.764,327.0
013270-99999,60.383,5.967,455.0
013290-99999,60.35,6.267,50.0
013320-99999,61.43,6.77,3.0
013370-99999,60.633,6.433,55.0
013380-99999,61.167,6.65,51.0
013400-99999,60.42,7.28,737.0
013470-99999,61.156,7.137,511.0
013500-99999,60.6,7.533,1208.0
013600-99999,61.9,7.9,664.0
013610-99999,62.017,7.667,872.0
013660-99999,61.567,8.0,1413.0
013670-99999,60.983,9.217,365.4
013680-99999,61.016,9.288,822.0
013730-99999,60.567,9.133,166.0
013750-99999,61.467,10.133,1028.0
013755-99999,61.033,2.033,10.0
013780-99999,61.1,10.467,239.0
013820-99999,60.767,10.8,128.0
013840-99999,60.194,11.1,207.6
013850-99999,60.817,11.067,222.3
013890-99999,61.183,11.367,255.7
013920-99999,60.617,12.017,185.0
013970-99999,61.3,12.267,361.4
014000-99999,56.55,3.217,48.8
014030-99999,59.3,4.867,56.3
014033-99999,56.55,3.25,48.8
014060-99999,59.917,5.067,16.0
014080-99999,59.345,5.208,26.2
014110-99999,59.067,5.417,22.0
014150-99999,58.877,5.638,8.8
014220-99999,59.167,6.033,25.0
014250-99999,58.517,6.517,66.0
014270-99999,58.117,6.567,14.0
014280-99999,58.099,6.626,8.8
014340-99999,59.767,7.367,822.0
014410-99999,59.583,7.383,836.0
014420-99999,58.667,7.8,211.0
014470-99999,59.5,8.2,562.0
014480-99999,58.067,8.05,8.0
014520-99999,58.204,8.085,17.4
014550-99999,59.033,8.517,252.0
014650-99999,58.4,8.783,15.0
014670-99999,58.633,9.15,5.0
014690-99999,60.167,10.25,140.0
014700-99999,59.383,9.2,93.0
014703-99999,59.566,9.212,19.2
014710-99999,60.05,9.15,275.0
014730-99999,59.617,9.633,173.0
014770-99999,59.717,10.15,193.0
014800-99999,59.75,10.133,8.0
014810-99999,59.233,10.35,26.0
014820-99999,59.033,10.517,7.7
014830-99999,59.183,10.267,88.0
014843-99999,59.317,10.45,15.0
014880-99999,60.117,10.833,170.0
014920-99999,59.95,10.717,97.0
014940-99999,59.379,10.786,53.0
014950-99999,59.15,10.833,10.0
020001-99999,56.083,13.213,42.7
020130-99999,67.733,17.467,542.7
020200-99999,68.417,18.167,517.0
020240-99999,67.5,18.3,425.0
020290-99999,67.917,18.6,1146.0
020310-99999,68.067,19.833,493.0
020360-99999,67.85,19.033,468.0
020380-99999,67.25,20.267,453.0
020440-99999,67.822,20.337,459.6
020490-99999,67.132,20.815,313.0
020540-99999,68.05,21.75,360.0
020550-99999,68.683,21.533,402.0
020640-99999,67.333,22.233,240.0
020720-99999,67.733,22.833,313.0
020800-99999,68.45,22.45,331.0
020860-99999,67.767,22.35,317.0
020950-99999,67.2,23.383,171.0
021010-99999,65.806,15.083,458.1
021020-99999,65.1,14.517,1036.0
021030-99999,65.783,15.067,793.0
021080-99999,65.067,14.8,593.0
021100-99999,65.333,15.067,577.0
021200-99999,66.883,18.017,315.0
021205-99999,64.95,17.7,279.0
